NO_APLICA,NO_APLICA,1,Matutino,0,0,No aplica,,,,NO APLICA,0,NO APLICA,0,NO APLICA,NO APLICA
11BBI0012Z,BIBLIOTECA PUBLICA MUNICIPAL BENITO JUAREZ,4,Discontinuo,,,No aplica,0,0,0,"CALLE PLAZA PRINCIPAL NÚMERO EXTERIOR: 8 , COLONIA SAN JOSE ITURBIDE CENTRO, CÓDIGO POSTAL 37980, ENTRE CALLE BENITO JUAREZ GARCIA, Y CALLE MARIANO ABASOLO, POSTERIOR CALLE JAVIER MINA",1,SAN JOSE ITURBIDE,32,San José Iturbide,MARTHA RIVERA SUAREZ
11FTV5025Q,SUPERVISION DE ZONA ESCOLAR DE TELESECUNDARIA NUM. 525,4,Discontinuo,525,6,No aplica,0,0,0,"CALLE JAVIER MINA NÚMERO EXTERIOR: 1 , COLONIA SAN JOSE ITURBIDE CENTRO, CÓDIGO POSTAL 37980, ENTRE CALLE BENITO JUAREZ GARCIA, Y CALLE MARIANO ABASOLO, POSTERIOR CALLE PLUTARCO ELIAS CALLES",1,SAN JOSE ITURBIDE,32,San José Iturbide,ALBERTO NARVAEZ TORRES
11DJN3402A,JUAN ESCUTIA,1,Matutino,240,1,Incompleta,1,0,1,"CALLE ATONGUITO NÚMERO EXTERIOR: SN,POBLADO COMUNAL ATONGUITO, CÓDIGO POSTAL 37993, ENTRE CALLE NINGUNO, Y CALLE NINGUNO, POSTERIOR CALLE NINGUNO",9,ATONGUITO,32,San José Iturbide,ANA LAURA RUIZ BECERRA
11DJN1068Z,JUSTO SIERRA,1,Matutino,47,7,Incompleta,1,0,0,PARAISO S/N,39,EL GALOMO,32,San José Iturbide,ESTEFANIA VEGA RIVERA
11ETV1009Z,TELESECUNDARIA NUM. 1009,1,Matutino,527,6,Completa,0,0,0,"CALLE PROVIDENCIA DE LOS MOLINA NÚMERO EXTERIOR: SN, RANCHO O RANCHERIA PROVIDENCIA DE LOS MOLINA, CÓDIGO POSTAL 37917, ENTRE CALLE NINGUNO, Y CALLE NINGUNO, POSTERIOR CALLE NINGUNO",152,PROVIDENCIA DE LOS MOLINA,33,San Luis de la Paz,MARIA TERESA FLORES VIZCAYA
11KJN0254Y,PREESCOLAR COMUNITARIO,1,Matutino,3,88,No aplica,0,0,0,SAN CAYETANO,184,SAN CAYETANO,33,San Luis de la Paz,EVA GARCIA BARCENAS
11KPR3988S,CURSO COMUNITARIO,1,Matutino,3,88,No aplica,0,0,0,EL ZAPOTE (EL MICHE),47,EL ZAPOTE (EL MICHE),34,Santa Catarina,MARTHA GUADALUPE BREÑA BRIONES
11EJN0222V,ALVARO OBREGON,1,Matutino,506,2,No aplica,0,0,0,LA SIMONA,82,LA SIMONA,43,Victoria,PERLA FABIOLA APODACA FLORES
11PJN0050Z,INSTITUTO GLENN DOMAN,1,Matutino,47,7,No aplica,0,0,0,"PROLONGACIÓN MOCTEZUMA NÚMERO EXTERIOR: 64 , COLONIA EL PINITO, CÓDIGO POSTAL 37985, ENTRE PROLONGACIÓN LIBRAMIENTO PONIENTE, Y CALLE 20 DE NOVIEMBRE, POSTERIOR CALLE 16 DE SEPTIEMBRE",1,SAN JOSE ITURBIDE,32,San José Iturbide,MARIA IGNACIA ZARAZUA RUBIO
11PJN0818I,MORITA,1,Matutino,510,2,No aplica,0,0,0,PROLONGACION MORELOS NUM. 63-B,1,SAN JOSE ITURBIDE,32,San José Iturbide,DULCE MARIA MATA RANGEL
11PBH0265F,COLEGIO JUAN JOSE TORRES LANDA,2,Vespertino,888,88,No aplica,0,0,0,JOSE CAMARILLO NUM. 99-A CALLE DEL CANAL,1,SAN JOSE ITURBIDE,32,San José Iturbide,CECILIA ESPINO MONTES
11DPT0012W,PLANTEL CONALEP 270. SAN JOSE ITURBIDE,1,Matutino,888,88,No aplica,0,0,0,AVENIDA CONALEP NUM. 104,1,SAN JOSE ITURBIDE,32,San José Iturbide,ELIA GAYTAN ALCARAZ
11DML0033C,CENTRO DE ATENCION MULTIPLE SAN JOSE ITURBIDE,1,Matutino,8,88,No aplica,0,0,0,HUIZACHE S/N ESQUINA CON CIPRES,1,SAN JOSE ITURBIDE,32,San José Iturbide,NICOLAS PEREZ LOPEZ
11BBI0210Z,BIBLIOTECA PUBLICA MUNICIPAL MANUEL GOMEZ MORIN,2,Vespertino,888,88,No aplica,0,0,0,MANUEL RODRIGUEZ NUM. 120,1,SAN JOSE ITURBIDE,32,San José Iturbide,MICAELA IBARRA SALAZAR
11PSU0225Z,CENTRO UNIVERSITARIO NICOLAS CAMPA,4,Discontinuo,,,No aplica,0,0,0,"CALLE HIDALGO NÚMERO EXTERIOR: 12 , COLONIA SAN JOSE ITURBIDE CENTRO, CÓDIGO POSTAL 37980, ENTRE CALLE MELCHOR OCAMPO, Y CALLE MIGUEL MA. ECHEGARAY, POSTERIOR CALLE GALEANA",1,SAN JOSE ITURBIDE,32,San José Iturbide,JUAN CARLOS SALGADO GUZMAN
11PPR1005J,COLEGIO LA. MARIE JOSEPH MOTIER LAFAYETTE,1,Matutino,514,2,No aplica,0,0,0,"AVENIDA LIBRAMIENTO ORIENTE NÚMERO EXTERIOR: 71 , COLONIA EL TEPETATE, CÓDIGO POSTAL 37984, ENTRE CALLE LATERAL MOCTEZUMA, Y CALLE MIGUEL HIDALGO Y COSTILLA, POSTERIOR CALLE NINGUNO",1,SAN JOSE ITURBIDE,32,San José Iturbide,MA. CONSUELO PEÑA PANIAGUA
